4.0585E7,W1DMA02
3.7295E7,SW2DMA07
1.6099E7,SW4DMA13
2.784E7,SW2DMA01
1.04171E8,SW4DMA06
1.02931999E8,SW2DMA12
4.6203E7,C1DMA01
9.1167E7,SE3DMA03
5.7533E7,SW1DMA12
4.5875E7,SW1DMA05
2.5382E7,SW2DMA17
9.7838E7,S3DMA02
2.6693E7,SE3DMA06
3.7768E7,S3DMA04
7.1245E7,S1DMA09
7.194E7,SW4DMA02
7.204E7,SW4DMA12
3.8405E7,SW1DMA13
2.3755E7,SW3DMA01
4.692E7,S1DMA02
3.1326E7,S2DMA01
2.5276E7,SW4DMA10
6.3045E7,S2DMA02
6.6594E7,S1DMA08
7.4713E7,SW4DMA01
5.5669E7,S1DMA07
3.5207E7,SW2DMA16
3.2932E7,SW4DMA09
9.7892E7,W1DMA03
1.5351E7,S1DMA01
9.6161E7,SW2DMA04
3.5296999E7,SW1DMA01
1.7249E7,SW2DMA13
7.3046E7,SW3DMA03
6247000.0,S1DMA05
6.8967E7,SE3DMA10
4.3520999E7,SE3DMA05
1.11234E8,S3DMA05
1.483E8,SW1DMA06
8.9299E7,SE3DMA04
1.01346E8,SW4DMA04
6.7196E7,SW2DMA03
4.3294E7,SE3DMA12
3.6007E7,SW3DMA02
1.7202E7,W1DMA01
6.9642E7,S3DMA09
4.1791E7,SW3DMA10
3.307E7,SW3DMA04
1.75512999E8,SW3DMA13
2157000.0,SE3DMA13
7.7523E7,SW4DMA03
1.24703E8,S1DMA03
4.9254E7,SW1DMA02
4.3517E7,SW3DMA09
6.0160999E7,SW3DMA06
7.8196E7,SW4DMA07
5.0374E7,SW4DMA05
7.7754E7,SW2DMA14
9.842E7,SW1DMA09
8.6257E7,S1DMA06
3.1702E7,SW2DMA11
8.2962E7,SW2DMA02
1.82562E8,SW2DMA10
2.7061E7,S3DMA01
5.4904E7,SW2DMA06
1.35716E8,S3DMA06
5.4925E7,S2DMA03
4.1223999E7,SW1DMA04
4.7834E7,S1DMA04
3.6122E7,SW3DMA07
1.66194E8,S3DMA08
4.3535E7,S1DMA10
1.3077E7,SE3DMA01
8.7727E7,SW1DMA10
6.2756E7,SE3DMA02
3.6633E7,SE3DMA11
1.20593E8,SE3DMA07
3.1198E7,SW2DMA05
1.17971E8,SW2DMA15
1.4762E7,SE3DMA08
9.1145E7,SW3DMA05
1.17457E8,SW4DMA11
3.6676E7,SW4DMA08
9.8918E7,S3DMA03
